Invoice No,Date,Vendor,Design No,Ordered Qty,Generated Barcodes Qty,Missing Qty (If Negative then Extra)
"SS1999","2026-03-07","SATYA DESIGNS PVT. LTD.","SAK-3825",7,8,-1
"ST-0081","2026-04-21","SATYA DESIGNS PVT. LTD.","SFD-621",1,2,-1
"ST0239","2026-05-08","SATYA DESIGNS PVT. LTD.","SAK-3891-B",1,2,-1
"ST0239","2026-05-08","SATYA DESIGNS PVT. LTD.","SFD-460",3,4,-1
"UVFPL/25-262043","2026-04-25","UTKRISHT VATIKA FASHIONS PVT. LTD.","0404",1,2,-1
"VE1722/25-26","2026-03-09","VIRA ENTERPRISES","6059-B",1,2,-1
"VE1789/25-26","2026-03-18","VIRA ENTERPRISES","HA-6081",1,2,-1
"VI/000895/25-26","2026-02-28","VAANII","L-922D",1,2,-1
"000698","2026-02-28","ESSENCE COLLECTION PVT LTD","KS-631 PK",5,7,-2
"000698","2026-02-28","ESSENCE COLLECTION PVT LTD","KW-639 G",5,7,-2
"000698","2026-02-28","ESSENCE COLLECTION PVT LTD","KS-631 YL",5,7,-2
"000698","2026-02-28","ESSENCE COLLECTION PVT LTD","KW-2511-PL P",5,7,-2
"11789","2026-03-06","SADBHAVANA ENTERPRISES","2612",5,7,-2
"11789","2026-03-06","SADBHAVANA ENTERPRISES","4011",4,6,-2
"11941","2026-03-06","SADBHAVANA ENTERPRISES","75",2,4,-2
"11941","2026-03-06","SADBHAVANA ENTERPRISES","24",2,4,-2
"11941","2026-03-06","SADBHAVANA ENTERPRISES","99",2,4,-2
"1640/25-26","2026-03-09","OJAS COUTURE LLP","KP321",3,5,-2
"1640/25-26","2026-03-09","OJAS COUTURE LLP","KP327",3,5,-2
"1640/25-26","2026-03-09","OJAS COUTURE LLP","MNM162",3,5,-2
"1640/25-26","2026-03-09","OJAS COUTURE LLP","KP380",3,5,-2
"2141","2026-03-12","GUNJAN BINANI","D-799",2,4,-2
"239","2026-04-23","AARI","16472",8,10,-2
"25-26/1505","2026-03-10","SHREE VISHWANATH SAREES PVT LTD","25112",2,4,-2
"25-26/3481","2026-03-16","TULIPS ","E-88",5,7,-2
"25-26/3481","2026-03-16","TULIPS ","E-89",3,5,-2
"5407","2026-03-04","MAIDENS CREATION","DES 6298",2,4,-2
"5407","2026-03-04","MAIDENS CREATION","DES 6345",2,4,-2
"63/26-27","2026-05-05","AARI","6905",4,6,-2
"73/26-27","2026-04-21","SHAASHVAT DESIGN STUDIO","1851-G",2,4,-2
"73/26-27","2026-04-21","SHAASHVAT DESIGN STUDIO","1851-P",1,3,-2
"737","2026-03-07","MOI CREATION","1977",5,7,-2
"737","2026-03-07","MOI CREATION","1998",5,7,-2
"AH/008527/25-26","2026-03-02","AASHIRVAD HERITAGE PVT LTD","335-2038",4,6,-2
"GFD/25-26/0144","2026-03-10","G & D FASHIONS ","823",8,10,-2
"GPOSI25-26/16336","2026-02-28","ONAYA FASHION PVT LTD","SP1681",1,3,-2
"KANWS25-26-06593","2026-03-06","KANCHANA","16229",2,4,-2
"LV/009894/25-26","2026-03-05","LA VESTA ","S151-445",8,10,-2
"RD/009158/25-26","2026-03-10","RUPDARSHI HERITAGE PVT LTD","TW-032C",8,10,-2
"RDS/006476/25-26","2026-03-07","RUPDARSHI DESIGNS PRIVATE LIMITED","KFS58",3,5,-2
"RDS/006476/25-26","2026-03-07","RUPDARSHI DESIGNS PRIVATE LIMITED","VTA36",4,6,-2
"SE/005367/25-26","2026-02-25","STRAAVI ENSEMBLES PRIVATE LIMITED","7197",2,4,-2
"SE/005367/25-26","2026-02-25","STRAAVI ENSEMBLES PRIVATE LIMITED","7377",2,4,-2
"SE/005367/25-26","2026-02-25","STRAAVI ENSEMBLES PRIVATE LIMITED","7196",2,4,-2
"SE/005367/25-26","2026-02-25","STRAAVI ENSEMBLES PRIVATE LIMITED","1718",2,4,-2
"TI/25-26/00529","2026-04-07","REYAANS ","CCRS/25/02",2,4,-2
"TN/25-26/6662","2026-03-13","TANKHI DESIGNS 1 PVT LTD","3883",2,4,-2
"TN/25-26/6662","2026-03-13","TANKHI DESIGNS 1 PVT LTD","3886A",2,4,-2
"VE1722/25-26","2026-03-09","VIRA ENTERPRISES","3008",3,5,-2
"WH/2025-26/608","2026-04-27","WARIS HOUSE OF FASHION","SLC-03-BLUE",1,3,-2
"1816","2026-04-07","SAVI APPARELS","4017/A",3,6,-3
"1816","2026-04-07","SAVI APPARELS","4035",3,6,-3
"5407","2026-03-04","MAIDENS CREATION","DES 6352",1,4,-3
"5407","2026-03-04","MAIDENS CREATION","DES 6400",3,6,-3
"5407","2026-03-04","MAIDENS CREATION","DES 6458",1,4,-3
"5407","2026-03-04","MAIDENS CREATION","DES 6375",3,6,-3
"5407","2026-03-04","MAIDENS CREATION","DES 6404",4,7,-3
"RDS/006476/25-26","2026-03-07","RUPDARSHI DESIGNS PRIVATE LIMITED","VTA87",3,6,-3
"RDS/006476/25-26","2026-03-07","RUPDARSHI DESIGNS PRIVATE LIMITED","VTA173",3,6,-3
"000698","2026-02-28","ESSENCE COLLECTION PVT LTD","KS-611 YL",5,9,-4
"000698","2026-02-28","ESSENCE COLLECTION PVT LTD","KS-602 BR",5,9,-4
"000698","2026-02-28","ESSENCE COLLECTION PVT LTD","KS-602 WH",5,9,-4
"234564","2026-03-05","V NARBHERAM & CO","9717",1,5,-4
"25-26/3430","2026-03-16","TULIPS ","E-104",5,9,-4
"5407","2026-03-04","MAIDENS CREATION","DES 6054",1,5,-4
"5407","2026-03-04","MAIDENS CREATION","DES 6386",2,6,-4
"RDS/006476/25-26","2026-03-07","RUPDARSHI DESIGNS PRIVATE LIMITED","S-BH86",4,8,-4
"RDS/006476/25-26","2026-03-07","RUPDARSHI DESIGNS PRIVATE LIMITED","VTA34",4,8,-4
"RDS/006476/25-26","2026-03-07","RUPDARSHI DESIGNS PRIVATE LIMITED","VTA33",5,9,-4
"USP/2601/25-26","2026-03-06","URVASHI SAREES PVT LTD","UV3A 1197",1,5,-4
"124/MYMH/25-26","2026-03-08","MYST DESIGNS","109-02",1,6,-5
"124/MYMH/25-26","2026-03-08","MYST DESIGNS","114",1,6,-5
"124/MYMH/25-26","2026-03-08","MYST DESIGNS","111",1,6,-5
"588","2026-03-06","MAHARAJA CLOTHING COMPANY","MARIGOLD-3072",3,8,-5
"SB8097/25-26","2026-03-07","BOOM JNS PVT LTD","85965",5,10,-5
"SB8097/25-26","2026-03-07","BOOM JNS PVT LTD","85801",5,10,-5
"SB8097/25-26","2026-03-07","BOOM JNS PVT LTD","84664 -05",3,8,-5
"3431","2026-03-08","UMMED SAREE CENTRE NX","5/2",2,8,-6
"A01213","2026-03-07","ANANTA EXPORTS","ORT-211",4,11,-7
"634","2026-03-11","STYLUXE APPAREL","LK165",9,17,-8
"2025-2026/789","2026-03-11","JAMIL BANDHEJ SAREE","1A",8,18,-10
"SS1999","2026-03-07","SATYA DESIGNS PVT. LTD.","LKS-014K",6,18,-12
"124/MYMH/25-26","2026-03-08","MYST DESIGNS","111-A",5,18,-13
"SB8097/25-26","2026-03-07","BOOM JNS PVT LTD","87491",5,18,-13
"5407","2026-03-04","MAIDENS CREATION","DES 6273",3,17,-14
"SB8097/25-26","2026-03-07","BOOM JNS PVT LTD","24058-02",10,35,-25
"SB8097/25-26","2026-03-07","BOOM JNS PVT LTD","87115",5,31,-26
"SB8097/25-26","2026-03-07","BOOM JNS PVT LTD","85724",5,33,-28
