Vendor Name,Invoice Number,Design Number,PO Quantity (Billed),Printed Quantity (Physical),Difference (Surplus/Shortage)
"TANKHI DESIGNS 1 PVT LTD","TN/25-26/6662","3883",2,4,+2
"TANKHI DESIGNS 1 PVT LTD","TN/25-26/6426","5225",1,0,-1
"TANKHI DESIGNS 1 PVT LTD","TN/25-26/6426","642",1,0,-1
"TANKHI DESIGNS 1 PVT LTD","TN/26-27/0214","OR-301",0,1,+1
"TULIPS ","25-26/3430","E-104",5,9,+4
"TULIPS ","25-26/3481","E-88",5,7,+2
"TULIPS ","25-26/3310","P-2930-B",0,2,+2
"TULIPS ","25-26/3481","E-89",3,5,+2
"TULIPS ","25-26/3310","P-2911-B",1,2,+1
"TULIPS ","25-26/3310","P-2896-R",1,2,+1
"TULIPS ","25-26/3310","P-2896-P",1,2,+1
"TULIPS ","25-26/3310","P-2977-W",1,2,+1
"TULIPS ","25-26/3310","P-3012-GY",1,2,+1
"TULIPS ","25-26/3310","P-3012-GR",1,2,+1
"TULIPS ","25-26/3310","P-3012-P",1,2,+1
"TULIPS ","25-26/3310","P-2980-G",1,2,+1
"TULIPS ","25-26/3403","P-3033",2,1,-1
"TULIPS ","25-26/3310","P-2977-B",1,2,+1
"TULIPS ","25-26/3310","P-2911-P",1,2,+1
"TULIPS ","S/0219","E-25-02",1,2,+1
"TULIPS ","25-26/3360","2898",3,2,-1
"TULIPS ","25-26/3310","P-2896-G",1,2,+1
"TULIPS ","25-26/3403","P-2960",2,1,-1
"UMMED SAREE CENTRE NX","3431","5/2",2,8,+6
"UMMED SAREE CENTRE NX","3431","1/5",5,3,-2
"UMMED SAREE CENTRE NX","3431","7/4",3,4,+1
"URVASHI SAREES PVT LTD","USP/2601/25-26","UV3A",11,1,-10
"URVASHI SAREES PVT LTD","USP/2598/25-26","UV2 481",10,2,-8
"URVASHI SAREES PVT LTD","USP/2598/25-26","UV2A",10,5,-5
"URVASHI SAREES PVT LTD","USP/2601/25-26","UV3A 1197",1,5,+4
"URVASHI SAREES PVT LTD","USP/2599/25-26","UV3A",8,5,-3
"URVASHI SAREES PVT LTD","USP/2598/25-26","UV2",6,5,-1
"UTKRISHT VATIKA FASHIONS PVT. LTD.","UVFPL/25-26/2042","0643",4,2,-2
"UTKRISHT VATIKA FASHIONS PVT. LTD.","UVFPL/25-26/2042","0376",5,3,-2
"UTKRISHT VATIKA FASHIONS PVT. LTD.","UVFPL/25-26/2042","0677-02",2,1,-1
"UTKRISHT VATIKA FASHIONS PVT. LTD.","UVFPL/25-262043","0654",5,4,-1
"UTKRISHT VATIKA FASHIONS PVT. LTD.","UVFPL/25-262043","0701",2,1,-1
"UTKRISHT VATIKA FASHIONS PVT. LTD.","UVFPL/25-262043","0701-02",2,1,-1
"UTKRISHT VATIKA FASHIONS PVT. LTD.","UVFPL/25-26/2042","0677",2,1,-1
"UTKRISHT VATIKA FASHIONS PVT. LTD.","UVFPL/25-262043","0592",5,4,-1
"UTKRISHT VATIKA FASHIONS PVT. LTD.","UVFPL/25-262043","0594",4,3,-1
"UTKRISHT VATIKA FASHIONS PVT. LTD.","UVFPL/25-262043","0594-02",2,1,-1
"UTKRISHT VATIKA FASHIONS PVT. LTD.","UVFPL/25-262043","0404",1,2,+1
"V NARBHERAM & CO","234575","754",11,7,-4
"V NARBHERAM & CO","234571","598",6,2,-4
"V NARBHERAM & CO","234563","662",8,4,-4
"V NARBHERAM & CO","234564","9717",1,5,+4
"V NARBHERAM & CO","234564","656",4,0,-4
"V NARBHERAM & CO","234575","620",11,7,-4
"V NARBHERAM & CO","234564","1852",8,4,-4
"V NARBHERAM & CO","234569","9717",1,0,-1
"V NARBHERAM & CO","234568","2852",1,0,-1
"V NARBHERAM & CO","234568","670",3,2,-1
"V NARBHERAM & CO","234570","854",3,2,-1
"VAANII","VI/000895/25-26","L-922D",1,2,+1
"VADHU VATIKA","31","SB-4HRG",0,10,+10
"VARIMA FASHIONS PVT LTD","VFPL-2478","T/584/KKP-933-G",3,1,-2
"VARIMA FASHIONS PVT LTD","VFPL-2478","T/584/KKP-933",0,1,+1
"VARIMA FASHIONS PVT LTD","VFPL0075","SF-30-BLUE",0,1,+1
"VARIMA FASHIONS PVT LTD","VFPL0075","SF-30-GREEN",0,1,+1
"VIMAL CREATION","20-2627","71-PINK",1,2,+1
"VIMAL CREATION","20-2627","49-RANI",1,2,+1
"VIMAL CREATION","20-2627","39-RED",1,2,+1
"VIMAL CREATION","20-2627","23-RED",1,2,+1
"VIMAL CREATION","20-2627","70-RED",1,2,+1
"VIRA ENTERPRISES","VE1722/25-26","3009-B",4,2,-2
"VIRA ENTERPRISES","VE1722/25-26","3008",3,5,+2
"VIRA ENTERPRISES","VE1789/25-26","HA-6081",1,2,+1
"VIRA ENTERPRISES","VE1722/25-26","6059-B",1,2,+1
"VIRA ENTERPRISES","VE1722/25-26","3008-B",4,3,-1
"VSB VASTTRAM PVT LTD","VSBV/0585/26-27","OR-35-4TH-FLOOR",0,1,+1
"VSB VASTTRAM PVT LTD","VSBV/0288/26-27","S1ss24",0,1,+1
"WARIS HOUSE OF FASHION","WH/2025-26/608","SLC-03-BLUE",1,3,+2
"ZUBEDA SILK & SAREES ","25-26/311","Z1",2,1,-1
