"Design Number","Vendor Name","Barcodes List","Purchase Invoices List","Sales Invoices List","Exists in Master","Purchase Quantity","Purchase Invoices Count","Purchase Return Quantity","Sales Quantity","Sales Invoices Count","Sales Return Quantity","Available Stock","Total Printed Stock","Total Barcodes Count","Safety Category","Action Recommended"
"3118","MAHARAJA CLOTHING COMPANY","00006975, 00006976, 00006977, 00006978","","",TRUE,0,0,0,0,0,0,4,4,4,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"36-D","HANDLOOM HANDICRAFT CENTRE","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"3669-02","MAIDENS CREATION","00009510","","",TRUE,0,0,0,0,0,0,1,1,1,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"38- F","HANDLOOM HANDICRAFT CENTRE","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"620218","LINEN AND LINENS PVT LTD","00009603, 00009604, 00009605, 00009606, 00009607","","",TRUE,0,0,0,0,0,0,5,5,5,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
"7077 M","MASHOOQA(22-25)","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"813-MAROON","G & D FASHIONS ","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"813-ORANGE","G & D FASHIONS ","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"813-PURPLE","G & D FASHIONS ","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"813-PURPLE-02","G & D FASHIONS ","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"816-PURPLE","G & D FASHIONS ","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"823-GREEN","G & D FASHIONS ","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"8351-R01","SWEET LADY","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"836-GREEN","G & D FASHIONS ","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"8371R","SWEET LADY","","","",TRUE,0,0,0,0,0,0,0,0,0,SAFE_TO_DELETE_IDLE,"Delete (Simulation): No purchases, returns, sales, or stock"
"86941","BOOM JNS PVT LTD","00008218, 00008219, 00008220, 00008221, 00008222","","",TRUE,0,0,0,0,0,0,5,5,5,ORPHAN_WITH_STOCK,"Delete (Simulation): Has physical stock/printed barcodes but no purchase record"
