"Design Number","Vendor Name","Barcodes List","Purchase Invoices List","Sales Invoices List","Exists in Master","Purchase Quantity","Purchase Invoices Count","Purchase Return Quantity","Sales Quantity","Sales Invoices Count","Sales Return Quantity","Available Stock","Total Printed Stock","Total Barcodes Count","Safety Category","Action Recommended"
"035-7050 01","UNKNOWN","","","INV2026000003",FALSE,0,0,0,1,1,0,0,0,0,ORPHAN_WITH_SALES,"Delete (Simulation): Sold but lacks purchase invoice in database"
"1-BROWN","UNKNOWN","","","INV2627000620, INV2627000701, INV2627000774",FALSE,0,0,0,3,3,0,0,0,0,ORPHAN_WITH_SALES,"Delete (Simulation): Sold but lacks purchase invoice in database"
"110-03","UNKNOWN","","","INV2026000370, INV2627000365",FALSE,0,0,0,2,2,0,0,0,0,ORPHAN_WITH_SALES,"Delete (Simulation): Sold but lacks purchase invoice in database"
"1879","UNKNOWN","","","INV2026000365, INV2627000402",FALSE,0,0,0,2,2,0,0,0,0,ORPHAN_WITH_SALES,"Delete (Simulation): Sold but lacks purchase invoice in database"
"2-BROWN","UNKNOWN","","","INV2627000787",FALSE,0,0,0,2,1,0,0,0,0,ORPHAN_WITH_SALES,"Delete (Simulation): Sold but lacks purchase invoice in database"
"2048 ","UNKNOWN","","","INV2627001028",FALSE,0,0,0,1,1,0,0,0,0,ORPHAN_WITH_SALES,"Delete (Simulation): Sold but lacks purchase invoice in database"
"CCRS/25/03","UNKNOWN","","","INV2627000393",FALSE,0,0,0,1,1,0,0,0,0,ORPHAN_WITH_SALES,"Delete (Simulation): Sold but lacks purchase invoice in database"
"SS--15723","UNKNOWN","","","INV2627000092, INV2627000662",FALSE,0,0,0,2,2,0,0,0,0,ORPHAN_WITH_SALES,"Delete (Simulation): Sold but lacks purchase invoice in database"
